age,position,minutes_in_game,appearances,minutes_played_home,minutes_played_away,minutes_on_bench,appearances_home,appearances_away,penalty_goals,goals_home,goals_away,penalty_misses,yellow_cards_overall,red_cards_overall,penalty_attempts,penalty_goals
29,Forward,3704.5,37,1573,1421,710.5,19,18,5,9,3,1,3,0,6,5
24,Midfielder,269.0,9,149,80,40.0,5,4,0,0,0,0,0,0,0,0
23,Defender,1195.0,14,460,490,245.0,7,7,0,0,1,0,4,1,0,0
32,Midfielder,1549.5,24,843,471,235.5,14,10,0,3,0,0,3,0,0,0
41,Goalkeeper,160.0,3,10,100,50.0,1,2,0,0,0,0,0,0,0,0
23,Midfielder,1785.0,23,732,702,351.0,12,11,0,0,1,0,4,0,0,0
31,Midfielder,1286.0,25,569,478,239.0,13,12,1,1,1,0,1,0,1,1
27,Forward,1570.5,28,600,647,323.5,15,13,0,2,0,0,1,0,0,0
27,Midfielder,507.5,15,143,243,121.5,6,9,0,1,0,0,1,0,0,0
30,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
23,Forward,1170.5,15,341,553,276.5,7,8,0,2,2,0,0,0,0,0
